,Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Notice Preference Code,Notice Preference Definition,Provided Email Address,Year Patron Registered,Outside of County,Supervisor District
373833,1,JUVENILE,27,10,10 to 19 years,X,Main Library,July,2016.0,z,email,True,2013,True,
259071,0,ADULT,2,1,35 to 44 years,M6,Mission,January,2016.0,z,email,True,2015,True,
291243,0,ADULT,34,44,60 to 64 years,S7,Sunset,April,2015.0,z,email,True,2010,True,
260214,3,SENIOR,2,2,65 to 74 years,X,Main Library,August,2015.0,p,phone,False,2014,True,
131745,0,ADULT,5,11,25 to 34 years,S7,Sunset,November,2015.0,z,email,True,2003,True,
297597,0,ADULT,7,0,35 to 44 years,O7,Ortega,July,2016.0,z,email,True,2015,True,
148064,0,ADULT,5,8,20 to 24 years,X,Main Library,July,2015.0,z,email,True,2013,True,
181618,0,ADULT,12,1,55 to 59 years,X,Main Library,April,2015.0,z,email,True,2003,True,
123537,0,ADULT,97,235,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2015,True,
128506,0,ADULT,3,0,45 to 54 years,X,Main Library,March,2015.0,z,email,True,2015,True,
285594,0,ADULT,20,26,35 to 44 years,X,Main Library,June,2016.0,z,email,True,2016,True,
294305,0,ADULT,18,7,60 to 64 years,X,Main Library,August,2015.0,z,email,True,2003,True,
207410,0,ADULT,2,0,35 to 44 years,X,Main Library,March,2016.0,z,email,True,2014,True,
14339,0,ADULT,118,58,55 to 59 years,X,Main Library,April,2016.0,z,email,True,2003,True,
282474,0,ADULT,4,0,20 to 24 years,X,Main Library,July,2015.0,p,phone,True,2012,True,
141694,0,ADULT,9,0,60 to 64 years,M6,Mission,March,2016.0,p,phone,False,2014,True,
185176,0,ADULT,1,2,25 to 34 years,X,Main Library,March,2015.0,z,email,True,2014,True,
59057,0,ADULT,109,240,60 to 64 years,X,Main Library,January,2015.0,z,email,True,2003,True,
197639,0,ADULT,169,103,35 to 44 years,G4,Glen Park,May,2016.0,z,email,True,2003,True,
137563,3,SENIOR,146,101,65 to 74 years,G4,Glen Park,February,2016.0,z,email,True,2010,True,
26522,0,ADULT,8,4,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2014,True,
131050,0,ADULT,6,2,55 to 59 years,M8,Mission Bay,March,2015.0,a,print,False,2015,True,
39835,0,ADULT,171,59,20 to 24 years,P3,Parkside,August,2015.0,z,email,True,2003,True,
226765,3,SENIOR,100,11,65 to 74 years,X,Main Library,May,2015.0,z,email,True,2003,True,
104519,0,ADULT,40,1,45 to 54 years,X,Main Library,February,2015.0,z,email,True,2003,True,
26,3,SENIOR,39,32,65 to 74 years,X,Main Library,May,2015.0,p,phone,True,2003,True,
78357,0,ADULT,106,110,35 to 44 years,E9,Excelsior,July,2016.0,z,email,True,2003,True,
209851,0,ADULT,93,30,60 to 64 years,X,Main Library,January,2016.0,z,email,True,2003,True,
289651,0,ADULT,16,0,25 to 34 years,X,Main Library,March,2016.0,z,email,True,2015,True,
241338,3,SENIOR,21,7,65 to 74 years,X,Main Library,August,2015.0,p,phone,True,2003,True,
413259,2,YOUNG ADULT,0,0,10 to 19 years,X,Main Library,January,2015.0,z,email,True,2011,True,
71354,10,VISITOR,3,0,35 to 44 years,M2,Marina,July,2016.0,z,email,True,2016,True,2.0
411972,2,YOUNG ADULT,2,0,10 to 19 years,E9,Excelsior,June,2016.0,z,email,True,2016,True,
277205,0,ADULT,7,3,20 to 24 years,X,Main Library,March,2015.0,p,phone,False,2010,True,
5518,0,ADULT,19,28,25 to 34 years,X,Main Library,October,2015.0,z,email,True,2012,True,
307456,2,YOUNG ADULT,3,0,10 to 19 years,W4,Western Addition,June,2016.0,z,email,True,2016,True,
112447,0,ADULT,158,250,25 to 34 years,M8,Mission Bay,September,2015.0,z,email,True,2006,True,
181715,3,SENIOR,7,12,65 to 74 years,M6,Mission,May,2016.0,z,email,True,2003,True,
78943,0,ADULT,35,17,25 to 34 years,X,Main Library,July,2016.0,z,email,True,2015,True,
152853,0,ADULT,0,0,45 to 54 years,M4,Merced,April,2016.0,z,email,True,2016,True,
