type,country,species,injury,date,sex,fatal
Provoked,USA,Sevengill shark,head mouthed by captive shark provoked incident,1984,M,False
Unprovoked,USA,White shark,right foot bitten,1984,M,False
Invalid,GREECE,Invalid,"coroner determined the man was killed by a boat propeller, not a tiger shark",30-Dec-1983,M,False
Unprovoked,USA,White shark,left foot & thigh bitten,25-Dec-1983,M,False
Unprovoked,AUSTRALIA,12' white shark,fingers bitten,24-Dec-1983,M,False
Unprovoked,SOUTH AFRICA,White shark,"left calf, ankle & foot lacerated",22-Dec-1983,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, >1 m ",shin lacerated,21-Dec-1983,M,False
Invalid,SOUTH AFRICA,Invalid,"two feet found in 1.74 m, 115-kg zambesi shark, confirmed as a postmortem scavenging",07-Dec-1983,M,False
Sea Disaster,PHILIPPINES,.5 m shark,left foot nipped,21-Nov-1983,M,False
Unprovoked,USA,Tiger shark,laceration to left foot,Reported      10-Nov-1983,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,probable drowning and scavenging,10-Nov-1983,F,False
Unprovoked,USA,1.5 m [5'] shark,puncture marks in leg & surfboard dinged,17-Oct-1983,M,False
Unprovoked,USA,4.5' shark,lacerations to left ankle,13-Oct-1983,M,False
Unprovoked,USA,White shark,abrasions to leg,04-Sep-1983,M,False
Unprovoked,USA,White shark,"no injury, board bitten",20-Aug-1983,M,False
Unprovoked,SOUTH AFRICA,5 m [16.5'] white shark,inner thighs lacerated,20-Aug-1983,M,False
Unprovoked,USA,Sand shark,foot bitten,15-Aug-1983,F,False
Provoked,USA,Nurse shark,hand abraded when he grabbed shark's tail provoked incident,13-Aug-1983,M,False
Unprovoked,USA,6' to 8' bull shark,right leg severely bitten,13-Aug-1983,F,False
Sea Disaster,AUSTRALIA,"Tiger shark, 5 m [16.5']","fatal, shark seized her by the chest and took her underwater",26-Jul-1983,F,True
Sea Disaster,AUSTRALIA,"Tiger shark, 5 m [16.5']","fatal, shark bit leg, then dragged him underwater",25-Jul-1983,M,True
Sea Disaster,AUSTRALIA,"Tiger shark, 5 m [16.5']","left knee bitten, but survived",25-Jul-1983,M,False
Unprovoked,SOUTH AFRICA,3 m to 4 m [10' to 13'] shark,left arm injured by shark's tail as it swam beneath his board,15-Jul-1983,M,False
Unprovoked,USA,3.5' hammerhead shark,left ankle nipped (3 punctures wounds),12-Jul-1983,F,False
Unprovoked,BAHAMAS,White shark,lacerations to left calf,08-Jul-1983,M,False
Unprovoked,USA,White shark,"no injury, shark bit air mattress, deflating it",05-Jul-1983,M,False
Unprovoked,USA,White shark,left foot bitten,29-Jun-1983,M,False
Unprovoked,BAHAMAS,White shark,fatal,22-Jun-1983,M,True
Unprovoked,USA,White shark,left foot lacerated,20-Jun-1983,M,False
Unprovoked,BAHAMAS,6' blacktip shark,lacerations to hand & foot,15-Jun-1983,M,False
Invalid,ITALY,Questionable incident,"no injury, 3 m shark ""harassed"" him at depth of 5 m",15-Jun-1983,M,False
Unprovoked,BAHAMAS,Caribbean reef shark,lacerations to thigh & buttocks,June 1983,M,False
Unprovoked,USA,6' shark,"left calf, knee & hands lacerated",31-May-1983,M,False
Unprovoked,USA,White shark,"knocked off board by shark, no injury",24-May 1983,M,False
Unprovoked,USA,White shark,right foot bitten,21-May-1983,M,False
Unprovoked,USA,White shark,no details,19-Apr-1983,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 1.5 m [5'] (tooth fragment recovered)",puncture wounds to foot,12-Apr-1983,M,False
Unprovoked,USA,White shark,left foot bitten,02-Apr-1983,M,False
Invalid,SOUTH AFRICA,Questionable incident,survived,02-Apr-1983,M,False
Unprovoked,SOUTH AFRICA,1.8 m [6'] Zambezi shark,right calf lacerated,30-Mar-1983,M,False
Unprovoked,SOUTH AFRICA,Blacktip or spinner shark,"no injury, board bitten",22-Mar-1983,M,False
Unprovoked,USA,White shark,"shark nudged board, no injury",10-Mar-1983,M,False
Unprovoked,SOUTH AFRICA,3 m [10'] shark,puncture wounds to buttocks,20-Feb-1983,M,False
Provoked,USA,White shark,leg bitten by captive shark provoked incident,24-Jan-1983,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,fatal,15-Jan-1983,M,True
Unprovoked,SOUTH AFRICA,White shark,left foot lacerated,10-Jan-1983,M,False
Unprovoked,SOUTH AFRICA,White shark,"no injury, rammed by shark",08-Jan-1983,M,False
Unprovoked,VANUATU,White shark,"fatal, arm/shoulder severed",1983,M,True
Provoked,USA,Blue sharks,bitten on their feet by landed sharks / lacerations only provoked incidents,1983,M,False
Unprovoked,AUSTRALIA,"Bronze whaler, 2m","no injury, surfboard bitten",26-Dec-1982,M,False
Unprovoked,USA,White shark,arm bitten,Nov-1982,M,False
Sea Disaster,USA,White shark,fatal,23-Oct-1962,M x 2,True
Unprovoked,USA,1.5 m [5'] shark,left foot lacerated,13-Oct-1982,M,False
Unprovoked,SOUTH AFRICA,White shark,"no injury, pressure ding on surfboard",30-Sep-1982,M,False
Unprovoked,SOUTH AFRICA,"Believed to involve a 2.8 m [9'3""] white shark","no injury, surfboard bitten",30-Sep-1982,M,False
Unprovoked,USA,1.5 m [5'] shark,laceration to lower left leg,27-Sep-1982,M,False
Unprovoked,USA,White shark,lacerations to hand,25-Sep-1982,M,False
Unprovoked,USA,5 m to 6 m [16.5' to 20'] white shark,upper left thigh & buttocks bitten,19-Sep-1982,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,"remains recovered from 2.7 m tiger shark, but shark involvement prior to death unknown",04-Sep-1982,M,False
Unprovoked,JAPAN,White shark,fatal,29-Aug-1982,M,True
Invalid,USA,Questionable incident; reported as shark attack but thought to involve a pinniped instead ,"no injury, board bitten",29-Aug-1982,M,False
Unprovoked,SOUTH AFRICA,White shark,"left knee, lower leg & foot bitten",29-Aug-1982,F,False
Unprovoked,TUNISIA,"2.1 m [7'] shark, possibly a spinner shark",thigh lacerated,Late Aug-1982,M,False
Invalid,SOUTH AFRICA,Invalid,"no injury, swim fin bitten",31-Jul-1982,M,False
Unprovoked,SOUTH AFRICA,"2.4 m [8'] white shark, species identity confirmed by tooth fragment","no injury, ski bitten",24-Jul-1982,M,False
Unprovoked,USA,4.5 m to 5.5 m [14.7' to 18'] white shark,"no injury, board bitten",24-Jul-1982,M,False
Unprovoked,USA,0.9 m to 1.2 m [3' to 4'] shark,left ankle bitten,19-Jul-1982,M,False
Invalid,USA,"Reported as a shark attack, the story was a hoax",laceration to left thigh, 11-Jul-1982,M,False
Unprovoked,USA,White shark,laceration to left leg,01-Jul-1982,F,False
Unprovoked,SOUTH AFRICA,"2.4 m [8'] white shark, species identity confirmed by witnesses & tooth pattern in surfboard",fatal,29-Jun-1982,M,True
Unprovoked,USA,5' shark,left arm bitten,26-Jun-1982,M,False
Unprovoked,BAHAMAS,"Lemon shark, 2 m [6'9""]",arm severed at elbow,26-Jun-1982,M,False
Unprovoked,USA,White shark,foot bitten,  25-Jun-1982,F,False
Unprovoked,USA,"1.2 m to 1.5 m [4' to 5'] ""reef shark""",thigh bitten 3 times,13-Jun-1982,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,human remains recovered from tiger shark,May 1982,F,False
Unprovoked,USA,White shark,elbow bitten,10-Mar-1982,M,False
Unprovoked,AUSTRALIA,White shark,legs bitten  fatal,07-Mar-1982,M,True
Unprovoked,NEW CALEDONIA,White shark,arm bitten,Mar-1982,M,False
Unprovoked,AUSTRALIA,5.5 m [18''] white shark,"fatal, body not recovered",28-Feb-1982,M,True
Unprovoked,USA,4' to 5' shark,lacerations to left hand and forearm,27-Feb-1982,M,False
Provoked,SOUTH AFRICA,White shark,leg bitten above ankle by hooked shark taken aboard skiboat provoked incident,17-Feb-1982,M,False
Unprovoked,USA,White shark,left leg bitten,14-Feb-1982,F,False
Unprovoked,USA,White shark,right foot bitten,14-Feb-1982,F,False
Unprovoked,USA,White shark,shark-bitten body found floating 1.5 miles offshore. bruises suggested she may have been bitten by the shark before drowning,13-Feb-1982,F,False
Unprovoked,USA,5 m [16.5'] white shark,calf & ankle bitten,07-Feb-1982,M,False
Unprovoked,USA,White shark,"fatal disappeared while diving, bathing suit & diving gear recovered bore marks of shark's teeth",07-Feb-1982,M,True
Unprovoked,SOUTH AFRICA,Raggedtooth shark,right shin & toe lacerated,29-Jan-1982,M,False
Watercraft,ITALY,6 m [20'] white shark,no details,1982,M,False
Watercraft,ITALY,White shark,no injury,1982,M,False
Unprovoked,USA,7 m [23'] white shark,"fatal, torso bitten",19-Dec-1981,M,True
Unprovoked,USA,"Tiger shark, 3.7 m [12']",right leg severely bitten,13-Dec-1981,M,False
Unprovoked,REUNION,White shark,survived,30-Nov-1981,M,False
Provoked,SOUTH AFRICA,"3.5 m [11.5'], 510-kg [1125-lb] hooked & shot white shark",hand lacerated  provoked incident,19-Oct-1981,M,False
Unprovoked,USA,"2.1 m [7'] shark with ""a very flat head” that had followed the boat for 3 days",hand bitten,09-Nov-1981,M,False
Unprovoked,USA,1.8 m to 2.4 m [6' to 8'] shark,hand & forearm bitten,19-Oct-1981,M,False
Unprovoked,USA,White shark,no details,17-Oct-1981,M,False
Unprovoked,USA,White shark,puncture wounds to left foot,16-Oct-1981,M,False
Unprovoked,USA,6' shark,laceration to right leg,01-Oct-1981,M,False
Unprovoked,USA,White shark,5 puncture marks to hip,28-Sep-1981,M,False
Unprovoked,USA,White shark,lacerations to right hand,27-Sep-1981,M,False
Unprovoked,USA,Said to involve a tiger shark or a hammerhead shark,"fatal, right calf bitten",15-Sep-1981,M,True
Unprovoked,USA,White shark,lacerations to 2 fingers of left hand,03-Sep-1981,M,False
Unprovoked,USA,White shark,laceration to foot,03-Sep-1981,M,False
Unprovoked,USA,6' shark,laceration to left ankle,29-Aug-1981,M,False
Provoked,USA,"1.8 m [6'] shark, species identity questionable","shot shark, then it bit him. puncture wounds on leg  provoked incident",24-Aug-1981,M,False
Invalid,USA,Shark involvement prior to death remains unconfirmed,disappeared while fishing from shore. leg found 7 days later wedged in rocks 150 yards offshore,24-Aug-1981,M,False
Unprovoked,USA,small nurse shark,bite to face,10-Aug-1981,M,False
Unprovoked,USA,White shark,fatal,10-Aug-1981,F,True
Unprovoked,BAHAMAS,Mako shark (tooth fragments recovered),upper right arm bitten,07-Aug-1981,M,False
Unprovoked,USA,"""sandshark""","foot bitten between arch & big toe, no stitches required",20-Jul-1981,F,False
Unprovoked,SOUTH AFRICA,Possibly a  1.8 m [6'] Zambezi shark,7 lacerations to right foot,18-Jul-1981,M,False
Unprovoked,USA,2.4 m [8'] shark,left foot & ankle lacerated,07-Jul-1981,M,False
Unprovoked,SOUTH AFRICA,"""gray shark""",laceration to calf,01-Jul-1981,M,False
Watercraft,ENGLAND,"13', 400-lb thresher shark",minor injuries from shark that leapt aboard their boat,Reported 15-Jun-1981,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,"probable drowning, 1.2 m [4'] shark hindered recovery of body",12-Jun-1981,M,False
Unprovoked,USA,White shark,"fatal, disappeared, dive gear & shredded tooth-marked wetsuit were recovered",24-May-1981,M,True
Unprovoked,SOUTH KOREA,6 m  white shark,fatal,23-May-1981,F,True
Unprovoked,SOUTH AFRICA,Raggedtooth shark,"shark & board collided. no injury, but board was dented",20-May-1981,M,False
Unprovoked,USA,White shark,massive tissue damage of left arm,19-May-1981,M,False
Unprovoked,USA,Lemon shark,left arm bitten,16-May-1981,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 2.5 m [8.25'] ","no injury, board bitten",10-May-1981,M,False
Provoked,NAMIBIA,White shark,lacerations provoked incident,07-May-1981,M,False
Unprovoked,SOUTH AFRICA,"Tiger shark, 2.1 m [7']","left leg bitten, surgically amputated",05-May-1981,M,False
Unprovoked,USA,"1.2 m to 1.5 m [4' to 5'] bull, sandbar or dusky shark","lacerations on calf, ankle & heel",25-Mar-1981,M,False
Unprovoked,USA,C. maculpinnis or C. limbatus,puncture wounds on  right thigh,24-Mar-1981,M,False
Unprovoked,CHILE,White shark,foot & ankle bitten,04-Mar-1981,M,False
Unprovoked,SOUTH AFRICA,Juvenile dusky or blacktip shark,foot lacerated,19-Feb-1981,M,False
Unprovoked,AUSTRALIA,1 m hammerhead shark,puncture wounds to foot,16-Feb-1981,M,False
Unprovoked,USA,1.8 m to 2.4 m [6' to 8'] hammerhead shark,lacerations & punctures in left calf & ankle,02-Feb-1981,M,False
Unprovoked,USA,Tiger shark,3 small punctures in scalp & ripped nostril,30-Jan-1981,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,probable drowning & scavenging by 1.5 m tiger shark,01-Jan-1981,M,False
Unprovoked,AUSTRALIA,"Tiger shark, 2.5 m ","no injury, ski bitten",1981,M,False
Unprovoked,GREECE,White shark,minor injury,Summer of 1981,M,False
Unprovoked,SOUTH AFRICA,3.5 m [11.5'] shark,"no injury, paddleski bitten",12-30-1980,M,False
Unprovoked,REUNION,1.8 m [6'] white shark,bitten twice,24-Nov-1980,M,False
Unprovoked,AUSTRALIA,White shark,"right shoulder bitten, puncture wounds on chest & lacerations on his back",18-Nov-1980,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,probable  drowning & scavenging,17-Nov-1980,M,False
Unprovoked,BRAZIL,White shark,fatal,11-Nov-1980,M,True
Unprovoked,USA,4 m to 5 m [13' to 16.5'] white shark,thigh lacerated,27-Oct-1980,M,False
Unprovoked,USA,4 m to 5 m [13' to 16.5'] white shark,no injury,17-Oct-1980,M,False
Unprovoked,MEXICO,White shark,fatal,Reported 22-Aug-1980,M,True
Unprovoked,USA,"""sandshark""",laceration to leg,Reported 03-Aug-1980,M,False
Unprovoked,USA,White shark,bitten behind knee & lower leg,10-Aug-1980,F,False
Unprovoked,USA,"Tiger shark, 4.3 m [14'] ",torso bitten,04-Aug-1980,M,False
Unprovoked,SPAIN,Blue shark,thigh injured,26-Jul-1980,M,False
Unprovoked,USA,White shark,back bitten,27-Jul-1980,M,False
Unprovoked,USA,4' to 8' shark,"no injury, shark bit her bathing suit",23-Jul-1980,F,False
Unprovoked,USA,White shark,"no injury, bumped off board",Late Jul-1980,M,False
Unprovoked,USA,White shark,lower leg bitten,Early Jul-1980,M,False
Provoked,USA,Blue shark,laceration to lower leg   provoked incident,26-Jun-1980,F,False
Unprovoked,SOUTH AFRICA,1.8 m [6'] shark,"no injury, board bitten",15-May-1980,M,False
Provoked,JAMAICA,White shark,hand bitten by speared shark provoked incident,25-Apr-1980,M,False
Unprovoked,MEXICO,Tiger shark,right calf bitten,Apr-1980,F,False
Unprovoked,SOUTH AFRICA,Tiger shark,fatal,29-Mar-1980,M,True
Unprovoked,BRAZIL,2 m shark,right leg bitten,28-Mar-1980,M,False
Sea Disaster,PHILIPPINES,White shark,fatal,15-Mar-1980,F,True
Provoked,SOUTH AFRICA,1.5 m [5'] hammerhead shark,leg lacerated by netted shark provoked incident,11-Mar-1980,M,False
Unprovoked,SOUTH AFRICA,"2.8 m [9'3""] white shark","both hands & heel of left foot lacerated, right foot severed",31-Jan-1980,M,False
Unprovoked,KENYA,2.2 m shark,ankle & foot lacerated,25-Jan-1980,M,False
Provoked,SOUTH AFRICA,"2 m [6'9""] Zambesi shark","no injury, rammed & catapulted from the water by shark after he shot at it & missed provoked incident",15-Jan-1980,M,False
Unprovoked,SOUTH AFRICA,Hammerhead shark,abrasion,13-Jan-1980,M,False
Unprovoked,SOUTH AFRICA,"Raggedtooth shark, 2 m [6'9""] ",3 small punctures on arm,10-Jan-1980,M,False
Unprovoked,CHILE,White shark,fatal,05-Jan-1980,M,True
Provoked,NORTH ATLANTIC OCEAN,1.8 m [6'] dogfish,arm lacerated by gaffed shark provoked incident,Summer 1980,M,False
Invalid,GREECE,Said to involve a white shark but shark involvement not confirmed,knee bitten,1980s ,M,False
Invalid,SOUTH AFRICA,Invalid,no injury; 2 m shark made threat display and impaled itself on spear,1980,M,False
Unprovoked,TONGA,White shark,chest bitten,1980s ,M,False
Unprovoked,SOUTH AFRICA,White shark,shin lacerated,21-Dec-1979,M,False
Invalid,PORTUGAL,White shark?,fatal,05-Dec-1979,M,True
Unprovoked,SOUTH CHINA SEA,6' shark,toothmarks on head & neck, 01-Dec-1979,M,False
Unprovoked,USA,"White shark, 4 m [13'] ",multiple major injuries,27-Nov-1979,M,False
Provoked,SOUTH AFRICA,"Raggedtooth shark, 50-kg [110-lb], 2 m [6.75'] gaffed ",bitten below right knee by hooked shark pulled onboard skiboat provoked incident,22-Oct-1979,M,False
Unprovoked,AUSTRALIA,"""a small shark""",leg bitten,14-Sep-1979,M,False
Unprovoked,HONG KONG,White shark,"leg severed, fatal",28-Aug-1979,M,True
Unprovoked,HONG KONG,White shark,fatal,26-Aug-1979,M,True
Unprovoked,USA,White shark,lacerations to foot,05-Aug-1979,M,False
Unprovoked,THAILAND,White shark,fatal,03-Aug-1979,M,True
Sea Disaster,USA,White shark,lacerations to leg,19-Jun-1979,M,False
Invalid,USA,Shark involvement prior to death was not confirmed,"fatal, but shark involvement prior to death was not determined",27-May-1979,M,True
Provoked,SOUTH AFRICA,"White shark, 2.5 m [8.25']  ",shark rammed diver after he shot it in the head  provoked incident,05 May 1979,M,False
Unprovoked,SOUTH AFRICA,White shark,"fatal (presumed), pieces of shark-bitten wetsuit washed ashore but no body was recovered",03-May-1979,M,True
Unprovoked,NEW CALEDONIA,2 m shark,fatal,May 1979,M,True
Unprovoked,USA,White shark,right foot & ankle lacerated,08-Apr-1979,M,False
Unprovoked,USA,White shark,right foot bitten,08-Apr-1979,M,False
Unprovoked,USA,Blacktip or spinner shark,foot & ankle bitten,24-Mar-1979,M,False
Unprovoked,USA,"White shark, 4 m to 5 m [13' to 16.5'] ","no injury, swim fin bitten",11-Mar-1979,M,False
Unprovoked,NEW CALEDONIA,White shark,"presumed fatal, body not recovered",Mar-1979,M,True
Unprovoked,SOUTH AFRICA,1.5 m to 2 m [5' to 6.75'] shark,punctures on left thigh,21-Feb-1979,M,False
Unprovoked,USA,White shark,"fatal, disappeared while fishing from shore, divers recovered his hand",1979,M,True
Unprovoked,AUSTRALIA,White shark,survived,29-Dec-1978,M,False
Unprovoked,SOUTH AFRICA,"White shark, 2.3 m [7.5'], tooth fragment recovered","fatal, legs bitten",12-Dec-1978,M,True
Unprovoked,USA,2.4 m [8'] shark,left arm bitten,26-Nov-1978,M,False
Unprovoked,USA,White shark,hand lacerated,23-Nov-1978,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,fatal or scavenging by 3 m tiger shark (may have involved foul play),21-Oct-1978,M,True
Unprovoked,SOUTH AFRICA,"White shark, 3.7 m [12'] ","no injury, shark took his catch, then towed & pushed diver through the water",27-Sep-1978,M,False
Unprovoked,ITALY,"White shark, 5 m [16.5'] ",no injury,16-Sep-1978,M,False
Unprovoked,USA,small blue shark,minor cuts to foot,03-Sep-1978,M,False
Unprovoked,AUSTRALIA,15' shark,several broken ribs,Reported 02-Sep-1978,M,False
Unprovoked,USA,"2 m [6'9""] shark",punctures on leg (minor injury),05-Aug-1978,M,False
Unprovoked,USA,White shark,minor injury to ankle,Reported 01-Aug-1978,M,False
Sea Disaster,USA,White shark,"no injury, his foot was bumped by a shark biting the body of a passenger that had drowned.",27-Jul-1978,M,False
Provoked,USA,White shark,laceration to leg by hooked shark  provoked incident,19-Jul-1978,M,False
Unprovoked,USA,White shark,foot bitten,21-Jun-1978,M,False
Unprovoked,USA,White shark,foot nipped,21-Jun-1978,M,False
Unprovoked,MARSHALL ISLANDS,White shark,laceration to left hand,02-Apr-1978,M,False
Unprovoked,MARSHALL ISLANDS,White shark,lacerations to right forearm,02-Apr-1978,M,False
Unprovoked,AUSTRALIA,"Sevengill shark, 2.4 m",thigh bitten,Apr-1978`,M,False
Unprovoked,SOUTH AFRICA,White shark,"no injury, rammed by shark",19-Feb-1978,M,False
Unprovoked,SOUTH AFRICA,Thought to involve a blacktip shark,"left leg, ankle & foot bitten",07-Jan-1978,M,False
Invalid,SOUTH AFRICA,Shark involvement prior to death was not confirmed,"human head recovered from 3 m [10'] tiger shark’s gut, probable drowning / scavenging",06-Jan-1978,M,False
Unprovoked,USA,White shark,foot bitten,1978,F,False
Unprovoked,VANUATU,White shark,fatal,1978,F,True
Sea Disaster,USA,White shark,feet lacerated,31-Dec-1977,M,False
Unprovoked,USA,White shark,laceration to right hand,19-Dec-1977,M,False
Unprovoked,SOUTH AFRICA,"Tiger shark, 3 m [10']","both legs bitten, 2 days later gangrene necessitated surgical amputation of left leg at mid-thigh",19-Dec-1977,M,False
Provoked,SOUTH AFRICA,1.5 to 2 m [5' to 6.75'] shark,shark lacerated his hand when he grabbed it by the tail provoked incident,12-Nov-1977,M,False
Unprovoked,SOUTH AFRICA,"White shark, 5 m [16.5'] ","no injury, shark bit speargun & pushed diver through the water",30-Oct-1977,M,False
Unprovoked,AUSTRALIA,White shark,"board rammed &  bitten, left thigh lacerated",31-Aug-1977,M,False
Unprovoked,AUSTRALIA,White shark,"fatal, left arm severed, legs bitten",23-Aug-1977,M,True
Watercraft,SOUTH AFRICA,White shark,"shark leapt into boat, pinning mamacos beneath and fracturing his pelvis, then trashed the boat rendering it inoperable",19-Aug-1977,M,False
Unprovoked,USA,"White shark, 5.5 m to 6 m [18' to 20']  ",leg lacerated,14-Aug-1977,M,False
Invalid,USA,Shark involvement not confirmed,lacerations to hip and leg,05-Aug-1977,M,False
Sea Disaster,USA,White shark,laceration to right hand,02-Jul-1977,M,False
Provoked,USA,"Bull shark, 8","provoked incident    diver poked shark with spear, then shark bit his right foot",26-Jun-1977,M,False
Unprovoked,USA,"Bull shark, 4' to 5' ",lacerations to wrist,06-Jun-1977,M,False
Watercraft,SOUTH AFRICA,"Mako shark, 2.3 m, 150-kg  ",lombard's thigh was lacerated by shark that leapt into boat,26-May-1977,M,False
Invalid,AUSTRALIA,White shark,"missing, believed taken by a shark",16-May-1977,M,False
Unprovoked,AUSTRALIA,White shark,survived,26-Apr-1977,M,False
Unprovoked,USA,1.2 m [4'] shark,arm bitten,21-Apr-1977,M,False
Unprovoked,SOUTH AFRICA,White shark,right foot bitten,17-Mar-1977,M,False
Sea Disaster,AUSTRALIA,White shark,"his feet were bitten by sharks, but he was rescued by a charter boat that arrived on the scene just an hour and 15 minutes after the sharks first appeared, too late to save the lives of hayes and beaver",13-Mar-1977,M,False
Sea Disaster,AUSTRALIA,White shark,fatal,13-Mar-1977,M,True
Sea Disaster,AUSTRALIA,White shark,fatal,13-Mar-1977,M,True
Unprovoked,AUSTRALIA,4 m [13'] shark,"left hand, arm & leg lacerated, & shark bit chunk out of his surfboard",26-Feb-1977,M,False
Invalid,AUSTRALIA,Shark involvement prior to death was not confirmed,shark involvement prior to death was unconfirmed,04-Feb-1977,M,False
Unprovoked,MEXICO,White shark,"fatal, left leg severed, neck cut",Jan-1977,M,True
Unprovoked,AUSTRALIA,White shark,survived,29-Dec-1976,M,False
Unprovoked,USA,"White shark, 5.5 m [18'] ",buttocks & hip bitten,18-Dec-1976,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3 m [10'] k",torso bitten,27-Nov-1976,M,False
Unprovoked,USA,2.1 m [7'] lemon shark or bull shark,"right arm severed 1"" below elbow with extensive tissue loss 3"" above elbow",25-Nov-1976,M,False
Invalid,SOUTH AFRICA,Questionable incident,laceration to foot,23-Nov-1976,M,False
Unprovoked,USA,"White shark, 3 m to 4 m [10' to 13'] ",leg bitten,18-Oct-1976,M,False
Unprovoked,SOUTH AFRICA,"White shark, 3.5 m [11.5'], species identity confirmed by tooth fragment",left thigh lacerated,06-Oct-1976,M,False
Unprovoked,AUSTRALIA,2.7 m  [9'] shark,"right leg bitten below the knee, left ankle & foot lacerated",19-Sep-1976,M,False
Sea Disaster,HONG KONG,White shark,"fatal, right leg bitten",17-Sep-1976,M,True
Unprovoked,USA,White shark,fatal,12-Sep-1976,M,True
Unprovoked,USA,White shark,fatal,12-Sep-1976,M,True
Unprovoked,USA,"Tiger shark, 6' ",laceration to left lower leg,06-Sep-1976,M,False
Unprovoked,USA,White shark,right ankle & foot lacerated,26-Aug-1976,M,False
Unprovoked,USA,"White shark, 4.5 m ","no injury, board bitten",24-Aug-1976,M,False
Unprovoked,USA,White shark,lacerations to forearms,24-Jul-1976,M,False
Unprovoked,USA,White shark,leg bitten,21-Jul-1976,M,False
Unprovoked,USA,White shark,"fatal, disappeared while diving, lower portion of body recovered",16-Jul-1976,M,True
Unprovoked,USA,6' to 8' shark,"""lost part of a finger""",12-Jul-1976,M,False
Unprovoked,USA,12' to 14' shark,lacerations to right arm,23-Jun-1976,M,False
Unprovoked,USA,0.9 m to 1.5 m [3' to 5'] shark,leg & foot bitten,10-Jun-1976,M,False
Provoked,ITALY,"Blue shark, 2m ",shark rammed boat provoked incident,Reported 02-Jun-1976,M,False
Watercraft,AUSTRALIA,1.5 m [5'] shark,"shark jumped in boat, hitting her in the face & knocking her unconscious",01-Jun-1976,F,False
Unprovoked,USA,White shark,lacerations to left leg,12-Mar-1976,M,False
Unprovoked,AUSTRALIA,White shark,survived,12-Jan-1976,F,False
Unprovoked,USA,6' shark,puncture wounds to head & neck,08-Jan-1976,M,False
Unprovoked,NEW ZEALAND,Bronze whaler shark,fatal,02-Jan-1976,M,True
Unprovoked,USA,White shark,"fatal, lost consciousness at depth of 180'. large sharks seen near partial remains of body",1976,M,True
Unprovoked,USA,White shark,leg bitten,06-Dec-1975,M,False
Provoked,AUSTRALIA,"Grey nurse shark, 10' ",tooth mark in left elbow provoked incident,02-Dec-1975,M,False
Unprovoked,AUSTRALIA,5' shark,laceration to posterior thigh,19-Nov-1975,M,False
Unprovoked,SOUTH AFRICA,Juvenile dusky shark,left foot lacerated,19-Nov-1975,M,False
Unprovoked,AUSTRALIA,White shark,puncture wounds in hand,07-Nov-1975,M,False
Unprovoked,USA,6' shark,foot bitten,02-Nov-1975,M,False
Invalid,USA,Shark involvement unconfirmed,"""tooth marks"" in left leg",21-Oct-1975,M,False
Unprovoked,AUSTRALIA,Bronze whaler,"cracked jaw & broken tooth, shark took chunk out of surfboard",12-Oct-1975,M,False
Unprovoked,SOUTH AFRICA,1.2 m [4'] shark,right foot & ankle lacerated,Sep-1975,M,False
Unprovoked,SOUTH AFRICA,"White shark, 2.4 m [8']",left leg & surfboard bitten,17-Aug-1975,M,False
Unprovoked,USA,1.5 m [5'] shark,"calf bitten, leg surgically amputated below the knee  note: by late august, 3 more bathers had been bitten by sharks at daytona beach",12-Aug-1975,M,False
Unprovoked,USA,White shark,"shoulder, arm & hand lacerated",09-Aug-1975,M,False
Unprovoked,HONG KONG,White shark,"leg bitten, surgically amputated",04-Aug-1975,M,False
Sea Disaster,USA,White shark,"fatal, arms & legs bitten",30-Jul-1975,F,True
Unprovoked,AUSTRALIA,White shark,fatal,30-Jul-1975,M,True
Unprovoked,USA,White shark,forearms lacerated,26-Jul-1975.b,M,False
Unprovoked,AUSTRALIA,12' shark,buttocks & leg bitten,26-Jul-1975,M,False
Unprovoked,USA,"White shark, 5.8 m [19'] ",legs bitten,23-Jul-1975,M,False
Unprovoked,USA,"White shark, 5m to 6m","no injury, swim fin torn",19-Jul-1975,M,False
Unprovoked,USA,1.2 m [4'] shark,arm lacerated,15-Jul-1975,F,False
Provoked,AUSTRALIA,2.4 m [8'] whaler shark,speared shark bit his arm  between elbow and shoulder provoked incident,5-Jul-1975,M,False
Unprovoked,USA,White shark,"foot bitten, tendons damaged",04-Jul-1975,M,False
Unprovoked,USA,4' shark,lacerations to right foot,23-Jun-1975,M,False
Unprovoked,USA,White shark,hand & wrist bitten,23-Jun-1975,F,False
Unprovoked,USA,White shark,left leg bitten,15-Jun-1975,M,False
