type,country,species,injury,date,sex,fatal
Unprovoked,Belize,Reef shark 6ft (1.8m),right lower leg amputated after serious bite,2024-08-06 00:00:00,F,False
Unprovoked,Australia,3m White Shark,serious injury to leg,2024-07-23 00:00:00,M,False
Unprovoked,Australia,Undetermined small shall shark,minor injury to lower left leg,2024-07-18 00:00:00,M,False
Unprovoked,USA,4-5ft Blacktip shark,lower left leg injury,2024-07-08 00:00:00,M,False
Unprovoked,Australia,Undetermined,not specified,2024-07-08 00:00:00,M,False
Unprovoked,USA,Not specified,minor injury to left foot,2024-07-05 00:00:00,M,False
Unprovoked,USA,Bull shark 6 ft,bite to left leg calf muscle removed,2024-07-04 00:00:00,F,False
Unprovoked,USA,6 ft shark,minor cuts to calf,2024-07-04 00:00:00,F,False
Unprovoked,USA,6 ft shark,superficial wounds to leg,2024-07-04 00:00:00,F,False
Unprovoked,USA,Not specified,minor injury to right foot four tendons ruptured,2024-07-04 00:00:00,M,False
Unprovoked,USA,6ft shark,bite to left leg,2024-07-04 00:00:00,M,False
Unprovoked,USA,Not stated,not specific shark bite injuries to the body,2024-06-23 00:00:00,M,False
Unprovoked,USA,Not stated area has Tiger and Galapogas sharks,multiple serious lacerations to the body,2024-06-07 00:00:00,F,False
Unprovoked,USA,Not specified Bull shark highly suspect,left hand bitten off and right leg bitten,2024-06-07 00:00:00,F,False
Unprovoked,USA,Not specified Bull shark highly suspect,significant injuries to pelvic and abdominal region lower left arm amputated,2024-06-07 00:00:00,F,False
Unprovoked,USA,Not specified,significant bites to torso left arm and hand,2024-06-02 00:00:00,M,False
Unprovoked,Maldive Islands,Not specified,wounds to lower extremities fatal,2024-06-02 00:00:00,M,True
Unprovoked,USA,Not specified,bitten on left hand by 4-5ft shark,2024-05-28 00:00:00,F,False
Unprovoked,Turks and Caicos,Large shark,major damage to right leg later amputated lower left leg left hand and forearm,2024-05-24 00:00:00,M,False
Unprovoked,French Polynesia,2.5m shark,bite left forearm several ripped tendons severed nerves deep muscle wounds,2024-05-23 00:00:00,M,False
Unprovoked,USA,3m Sandbar shark,bitten on left arm,2024-05-02 00:00:00,M,False
Unprovoked,Tobago,Bull shark 3m ,bite wounds to left arm and leg wounds to abdomen and left hand,2024-04-26 00:00:00,M,False
Unprovoked,Bahamas,Carribean reef shark 7ft,bitten on left leg puncture wounds to kneecap,2024-04-26 00:00:00,M,False
Unprovoked,Australia,Great White,minor bite to left leg,2024-04-20 00:00:00,M,False
Unprovoked,Australia,Not specified,minor injuries left foot,2024-04-20 00:00:00,M,False
Unprovoked,Maldive Islands,Not specified,minor injury to left leg,2024-04-08 00:00:00,M,False
Unprovoked,AUSTRALIA,Tiger shark,"minor injuries to back, abdomen and legs",15 Mar 2024,F,False
Unprovoked,USA,Tiger shark 8',"no injury, shark bit surfboard",04 Mar 2024,M,False
Unprovoked,USA,3' to 4' shark,lacerations to left foot,02 Mar-2024,F,False
Unprovoked,AUSTRALIA,Tiger shark,leg bitten,25 Feb-2024,F,False
Unprovoked,INDIA,"Bull shark, 7'",calf of lower left leg injured,14 Feb-2024,M,False
 Provoked,TRINIDAD,Blacktip reef shark,shoulder bitten,04-Feb-2024,M,False
Unprovoked,AUSTRALIA,Bull shark,right leg bitten,29 Jan-2024,F,False
Unprovoked,BAHAMAS,White shark,right leg injured,15 Jan-2024,M,False
Unprovoked,AUSTRALIA,White shark,leg bitten,09-Jan-2024,M,False
Provoked,SOUTH AFRICA,Raggedtooth shark,provoked incident. lacerations and puncture wounds to hand and calf from hooked shark,05-Jan-2024,M,False
Unprovoked,USA,White shark,fatal,30 Dec-2023,M,True
Unprovoked,MEXICO,White shark,fatal,29 Dec-2023,M,True
Unprovoked,AUSTRALIA,"White shark, 13'",fatal,28 Dec-2023,M,True
Unprovoked,AUSTRALIA,White shark,injury to right thigh,25 Dec-2023,M,False
Unprovoked,AUSTRALIA,Broze whaler?,puncture wounds to right ankle,24-Dec-2023,M,False
Unprovoked,NEW ZEALAND,Sevengill shark,significant injury to leg,18 Dec-2023,F,False
Questionable,MEXICO,Shark involment not confirmed,fatal,14  Dec-2023,M,True
Questionable,MEXICO,Shark involment not confirmed,injury to lower left leg,14  Dec-2023,F,False
Unprovoked,AUSTRALIA,White shark,leg severely  injured,08 Dec-2023,M,False
Unprovoked,BAHAMAS,White shark,fatal,04 Dec-2023,F,True
Unprovoked,MEXICO,White shark,fatal,02 Dec-2023,F,True
Unprovoked,AUSTRALIA,1.8m bull shark,puncture wounds to right upper arm,30 Nov-2023,M,False
Unprovoked,BAHAMAS,White shark,fatal,21 Nov-2023,F,True
Unprovoked,AUSTRALIA,White shark,injuries to scalp and face,10 Nov-2023,F,False
Unprovoked,USA,White shark,lacerations to right forearm,05 Nov-2023,M,False
Unprovoked,AUSTRALIA,Lemon shark,minor injury,03 Nov-2023,M,False
Unprovoked,NEW ZEALAND,White shark,minor injury. wetsuit shredded,02 Nov-2023,M,False
Questionable,EGYPT,Oceanic whitetip shark,no injury. no attack; the shark  simply head-butted him,Reported 02 Nov-2023,M,False
Unprovoked,AUSTRALIA,"White Shark, 4.5 m",fatal,31 Oct-2023,M,True
Unprovoked,USA,8' tiger shark,bite to right thigh,25 Oct 2023,M,False
Provoked,Mexico,White shark,both arms injured,23 Oct-2023,M,False
Watercraft,AUSTRALIA,"Bronze whaler, 6'",dinghy damaged by shark. no injurty to the 5 men onboard,21 Oct-2023,M,False
Unprovoked,BELIZE,"Nurse shark, 5' to 6'",foot injured,20 Oct 2023,F,False
Unprovoked,USA,10' tiger shark,left leg and hand injured,15 Oct 2023,M,False
Unprovoked,USA,White shark,minor linjury to left lower leg,13 Oct-2023,M,False
Unprovoked,USA,10' to 12' Galapagos shark,minor injury. shark bit surfboard,02 Oct-2023,F,False
Unprovoked,AUSTRALIA,White shark,minor injury. shark bit surfboard,01 Oct-2023,F,False
Unprovoked,USA,White shark,body not recovered,01 Oct-2023,M,False
Unprovoked,USA,White shark,non-lifethreatening injuries,18 Sep-2023,M,False
Unprovoked,EGYPT,Tiger shark?,"left arm severely bitten, surgically amputated",13 Sep-2023,F,False
Questionable,USA,White shark,llacerations to face and chin,12 Sep-2023,M,False
Unprovoked,USA,White shark,bite to lower back,11 Sep-2023,M,False
Unprovoked,PHILIPPINES,White shark,laceration to left thigh,09 Sep- 2023,M,False
Watercraft,Coral Sea,Cookiecutter sharks,catamaran severely damaged by sharks. no injurty to the 3 men onboard,Reported 06-Sep-2023,M,False
Unprovoked,USA,White shark,left hand bitten,04 Sep 2023,M,False
Unprovoked,USA,White shark,right foot bitten,04 Sep 2023,F,False
Unprovoked,AUSTRALIA,"White shark, 3.8-4.2m",severe injuries to lower limbs,25 Aug 2023,M,False
Watercraft,USA,White shark,"shark bit kayak, no injury to occupant",22 Aug-2023,M,False
Questionable,BAHAMAS,White shark,body found with shark bites. possible drowning. cause of death unknown,21 Aug-2023,M,False
Unprovoked,SPAIN,Blue shark,minor lacerations to right foot,16 Aug-2023,M,False
Provoked,PORTUGAL,Blue shark,leg bitten,16 Aug-2023,M,False
Unprovoked,SAMOA,White shark,fatal,12 Aug-2023,M,True
